"OGT group abbrevations: E:Eukaryotes,BM:Bacterial mesophilic, THP:Thermophilic, and AM:Archaea mesophilic",,,,,,,,,,
species,Observed OGT group,Predicted_probability of OGT group,,,,Predicted OGT group,Methods,Obseved Species Kingdom,Observed OGT,Observed OGT group
Pseudomonas vancouverensis,BM,0,1,0,0,BM,RF,Bacteria,30,Mesophiles
Pseudorhodoplanes sinuspersici,BM,0,0.986,0,0.014,BM,RF,Bacteria,30,Mesophiles
Pseudothermotoga lettingae TMO,THP,0.002,0.012,0,0.986,THP,RF,Bacteria,65,Hyperthermophiles
Psychrobacillus insolitus,BM,0,0.106,0.002,0.892,THP,RF,Bacteria,15,Mesophiles
Psychrobacter glacincola,BM,0,0.94,0,0.06,BM,RF,Bacteria,15,Mesophiles
Purpureocillium lilacinum,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Pyrobaculum arsenaticum DSM 13514,THP,0,0,0,1,THP,RF,Archaea,95,Hyperthermophiles
Pyrodictium occultum,THP,0.014,0.004,0,0.982,THP,RF,Archaea,95,Hyperthermophiles
Ralstonia insidiosa,BM,0.002,0.79,0,0.208,BM,RF,Bacteria,28,Mesophiles
Rhizobium bangladeshense,BM,0,0.998,0,0.002,BM,RF,Bacteria,29,Mesophiles
Rhizobium esperanzae,BM,0,1,0,0,BM,RF,Bacteria,28,Mesophiles
Rhodococcus erythropolis R138,BM,0,0.99,0,0.01,BM,RF,Bacteria,29,Mesophiles
Rhodothermus marinus DSM 4252,THP,0.004,0.172,0,0.824,THP,RF,Bacteria,67,Hyperthermophiles
Rhodotorula diobovata,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Roseovarius indicus,BM,0,0.664,0,0.336,BM,RF,Bacteria,28,Mesophiles
Saccharomyces paradoxus,E,0.006,0.036,0.92,0.038,E,RF,Eukaryota,25,Mesophiles
Saccharothrix espanaensis DSM 44229,BM,0,0.958,0,0.042,BM,RF,Bacteria,28,Mesophiles
Salinadaptatus halalkaliphilus,AM,0.996,0,0,0.004,AM,RF,Archaea,37,Mesophiles
Sandarakinorhabdus limnophila DSM 17366,BM,0,0.822,0,0.178,BM,RF,Bacteria,15,Mesophiles
Scardovia inopinata JCM 12537,BM,0.006,0.842,0,0.152,BM,RF,Bacteria,37,Mesophiles
Schizosaccharomyces cryophilus OY26,E,0,0.006,0.992,0.002,E,RF,Eukaryota,25,Mesophiles
Schizosaccharomyces octosporus yFS286,E,0,0.004,0.996,0,E,RF,Eukaryota,25,Mesophiles
Shewanella halifaxensis HAW-EB4,BM,0,0.99,0.006,0.004,BM,RF,Bacteria,15,Mesophiles
Siminovitchia thermophila,THP,0,0.026,0,0.974,THP,RF,Bacteria,50,Thermophiles
Sinorhizobium fredii CCBAU 25509,BM,0,0.996,0,0.004,BM,RF,Bacteria,25,Mesophiles
Spirochaeta thermophila DSM 6578,THP,0.002,0.438,0,0.56,THP,RF,Bacteria,65,Hyperthermophiles
Spiroplasma alleghenense,BM,0.002,0.988,0.002,0.008,BM,RF,Bacteria,30,Mesophiles
Spiroplasma apis B31,BM,0.002,0.992,0,0.006,BM,RF,Bacteria,30,Mesophiles
Spirosoma aerolatum,BM,0.008,0.87,0,0.122,BM,RF,Bacteria,25,Mesophiles
Spirosoma endbachense,BM,0.01,0.9,0,0.09,BM,RF,Bacteria,25,Mesophiles
Stieleria neptunia,BM,0.05,0.878,0.018,0.054,BM,RF,Bacteria,28,Mesophiles
Streptobacillus moniliformis DSM 12112,BM,0,0.886,0,0.114,BM,RF,Bacteria,37,Mesophiles
Streptomyces alboniger,BM,0,1,0,0,BM,RF,Bacteria,28,Mesophiles
Streptomyces angustmyceticus,BM,0.004,0.96,0,0.036,BM,RF,Bacteria,29,Mesophiles
Streptomyces atratus,BM,0,1,0,0,BM,RF,Bacteria,28,Mesophiles
Streptomyces aurantiacus,BM,0.008,0.92,0.006,0.066,BM,RF,Bacteria,28,Mesophiles
Streptomyces clavuligerus,BM,0,1,0,0,BM,RF,Bacteria,28,Mesophiles
Streptomyces davaonensis JCM 4913,BM,0,0.996,0,0.004,BM,RF,Bacteria,28,Mesophiles
Streptomyces griseus subsp. griseus NBRC 13350,BM,0,0.99,0,0.01,BM,RF,Bacteria,28,Mesophiles
Streptomyces rectiverticillatus,BM,0,1,0,0,BM,RF,Bacteria,28,Mesophiles
Symbiobacterium thermophilum IAM 14863,THP,0,0.178,0.022,0.8,THP,RF,Bacteria,60,Thermophiles
Tepidibacter thalassicus DSM 15285,THP,0.002,0.126,0.004,0.868,THP,RF,Bacteria,50,Thermophiles
Tepidiphilus succinatimandens,THP,0,0.056,0,0.944,THP,RF,Bacteria,55,Thermophiles
Thalassomonas viridans,BM,0,0.86,0.002,0.138,BM,RF,Bacteria,25,Mesophiles
Thermacetogenium phaeum DSM 12270,THP,0.002,0.042,0,0.956,THP,RF,Bacteria,55,Thermophiles
Thermaerobacter marianensis DSM 12885,THP,0,0.16,0,0.84,THP,RF,Bacteria,75,Hyperthermophiles
Thermoactinomyces vulgaris,THP,0.002,0.128,0,0.87,THP,RF,Bacteria,50,Thermophiles
Thermoanaerobacter kivui,THP,0,0.07,0.006,0.924,THP,RF,Bacteria,60,Thermophiles
Thermoanaerobacterium butyriciformans,THP,0.002,0.036,0,0.962,THP,RF,Bacteria,55,Thermophiles
Thermoanaerobaculum aquaticum,THP,0,0.04,0,0.96,THP,RF,Bacteria,60,Thermophiles
Thermocladium modestius,THP,0,0.002,0,0.998,THP,RF,Archaea,75,Hyperthermophiles
Thermoclostridium caenicola,THP,0,0.154,0,0.846,THP,RF,Bacteria,56,Thermophiles
Thermoclostridium stercorarium subsp. stercorarium DSM 8532,THP,0,0.17,0.002,0.828,THP,RF,Bacteria,60,Thermophiles
Thermodesulfobacterium geofontis OPF15,THP,0,0.004,0,0.996,THP,RF,Bacteria,80,Hyperthermophiles
Thermodesulfobacterium hydrogeniphilum,THP,0.004,0.008,0.002,0.986,THP,RF,Bacteria,70,Hyperthermophiles
Thermodesulfobium acidiphilum,THP,0.002,0.324,0,0.674,THP,RF,Bacteria,55,Thermophiles
Thermodesulfovibrio thiophilus DSM 17215,THP,0.002,0.062,0,0.936,THP,RF,Bacteria,55,Thermophiles
Thermogymnomonas acidicola,THP,0.346,0.032,0.006,0.616,THP,RF,Archaea,60,Thermophiles
Thermomonospora amylolytica,BM,0.002,0.904,0.002,0.092,BM,RF,Bacteria,45,Mesophiles
Thermonema lapsum,THP,0.012,0.432,0.004,0.552,THP,RF,Bacteria,60,Thermophiles
Thermosipho japonicus,THP,0.002,0.006,0,0.992,THP,RF,Bacteria,70,Hyperthermophiles
Thermosulfurimonas dismutans,THP,0,0.004,0,0.996,THP,RF,Bacteria,70,Hyperthermophiles
Thermosynechococcus elongatus PKUAC-SCTE542,THP,0.016,0.438,0.008,0.538,THP,RF,Bacteria,50,Thermophiles
Thermotoga maritima MSB8,THP,0,0.012,0,0.988,THP,RF,Bacteria,80,Hyperthermophiles
Thermovenabulum gondwanense,THP,0,0.008,0,0.992,THP,RF,Bacteria,65,Hyperthermophiles
Thermus antranikianii DSM 12462,THP,0,0,0,1,THP,RF,Bacteria,70,Hyperthermophiles
Thermus scotoductus,THP,0,0.012,0,0.988,THP,RF,Bacteria,65,Hyperthermophiles
Thiomicrorhabdus arctica DSM 13458,BM,0.014,0.738,0.002,0.246,BM,RF,Bacteria,15,Mesophiles
Torulaspora delbrueckii,E,0,0.014,0.986,0,E,RF,Eukaryota,25,Mesophiles
Torulaspora globosa,E,0.004,0.004,0.99,0.002,E,RF,Eukaryota,25,Mesophiles
Trichophyton equinum CBS 127.97,E,0.002,0.026,0.954,0.018,E,RF,Eukaryota,30,Mesophiles
Trichophyton interdigitale,E,0,0,1,0,E,RF,Eukaryota,30,Mesophiles
Uncinocarpus reesii 1704,E,0,0,1,0,E,RF,Eukaryota,24,Mesophiles
Ureibacillus thermophilus,THP,0.008,0.488,0.002,0.502,THP,RF,Bacteria,50,Thermophiles
Ustilago hordei,E,0,0,1,0,E,RF,Eukaryota,24,Mesophiles
Verticillium nonalfalfae,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Vibrio penaeicida,BM,0.004,0.868,0,0.128,BM,RF,Bacteria,22,Mesophiles
Wallemia mellicola CBS 633.66,E,0,0,1,0,E,RF,Eukaryota,22,Mesophiles
Weissella viridescens,BM,0.014,0.788,0.01,0.188,BM,RF,Bacteria,30,Mesophiles
Westerdykella ornata,E,0,0,1,0,E,RF,Eukaryota,24,Mesophiles
Wickerhamiella sorbophila,E,0,0.002,0.998,0,E,RF,Eukaryota,25,Mesophiles
Wickerhamomyces ciferrii,E,0.002,0.008,0.99,0,E,RF,Eukaryota,25,Mesophiles
Zygosaccharomyces parabailii,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Zygosaccharomyces rouxii,E,0.002,0.002,0.984,0.012,E,RF,Eukaryota,25,Mesophiles
Absidia repens,E,0.004026402,0.053144063,0.939063672,0.003765862,E,SVM,Eukaryota,24,Mesophiles
Achromobacter spanius,BM,0.007100995,0.908880815,0.009627405,0.074390785,BM,SVM,Bacteria,37,Mesophiles
Acidianus brierleyi,THP,0.313294285,0.155699146,0.138543669,0.3924629,THP,SVM,Archaea,72,Hyperthermophiles
Acidilobus saccharovorans 345-15,THP,0.232077949,0.093499584,0.132476618,0.541945849,THP,SVM,Archaea,80,Hyperthermophiles
Acremonium chrysogenum ATCC 11550,E,0.003234295,0.030799207,0.957183082,0.008783416,E,SVM,Eukaryota,22,Mesophiles
Actinotignum urinale,BM,0.004036458,0.921880883,0.009365076,0.064717583,BM,SVM,Bacteria,37,Mesophiles
Alicyclobacillus herbarius DSM 13609,THP,0.090489039,0.377030508,0.251223708,0.281256745,BM,SVM,Bacteria,55,Thermophiles
Alicyclobacillus mali NBRC 102425,THP,0.15156851,0.286592092,0.276220462,0.285618937,BM,SVM,Bacteria,50,Thermophiles
Alternaria alternata,E,0.005127781,0.057549071,0.931796317,0.005526831,E,SVM,Eukaryota,26,Mesophiles
Amycolatopsis mediterranei RB,BM,0.000556559,0.993725462,0.000903562,0.004814417,BM,SVM,Bacteria,28,Mesophiles
Amycolatopsis roodepoortensis,BM,0.000574221,0.993865983,0.000942634,0.004617162,BM,SVM,Bacteria,28,Mesophiles
Anaerolinea thermolimosa,THP,0.013279507,0.847566831,0.026660566,0.112493095,BM,SVM,Bacteria,50,Thermophiles
Anoxybacillus tepidamans,THP,0.127167131,0.294430487,0.291990373,0.28641201,BM,SVM,Bacteria,53,Thermophiles
Anoxybacillus vitaminiphilus,THP,0.124343823,0.29371888,0.294211705,0.287725592,E,SVM,Bacteria,55,Thermophiles
Archaeoglobus veneficus SNP6,THP,0.318780234,0.192164181,0.155476638,0.333578946,THP,SVM,Archaea,75,Hyperthermophiles
Ardenticatena maritima,THP,0.03390775,0.675952674,0.094465232,0.195674345,BM,SVM,Bacteria,65,Hyperthermophiles
Aspergillus ellipticus CBS 707.79,E,0.002616137,0.036260071,0.957313156,0.003810636,E,SVM,Eukaryota,24,Mesophiles
Aspergillus ibericus CBS 121593,E,0.002291774,0.029493571,0.964056892,0.004157763,E,SVM,Eukaryota,25,Mesophiles
Aspergillus japonicus CBS 114.51,E,0.002333273,0.030464789,0.963119469,0.004082469,E,SVM,Eukaryota,25,Mesophiles
Aspergillus lentulus,E,0.000936109,0.021453897,0.974321854,0.003288139,E,SVM,Eukaryota,25,Mesophiles
Aspergillus thermomutatus,E,0.002332831,0.030899713,0.962624181,0.004143275,E,SVM,Eukaryota,25,Mesophiles
Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896,BM,0.003467838,0.933693789,0.006605107,0.056233266,BM,SVM,Bacteria,17,Mesophiles
Bacillus thuringiensis serovar berliner ATCC 10792,BM,0.093894815,0.470022963,0.179408314,0.256673908,BM,SVM,Bacteria,30,Mesophiles
Bacillus toyonensis,BM,0.001932429,0.973780182,0.004468381,0.019819008,BM,SVM,Bacteria,30,Mesophiles
Bartonella alsatica,BM,0.00138085,0.960477679,0.002805149,0.035336323,BM,SVM,Bacteria,37,Mesophiles
Bartonella ancashensis,BM,0.000503493,0.985038856,0.000692976,0.013764676,BM,SVM,Bacteria,30,Mesophiles
Bartonella bovis 91-4,BM,0.029945872,0.771255188,0.043692809,0.155106131,BM,SVM,Bacteria,37,Mesophiles
Beauveria brongniartii RCEF 3172,E,0.002341123,0.031648605,0.961902135,0.004108138,E,SVM,Eukaryota,25,Mesophiles
Bifiguratus adelaidae,E,0.019001954,0.117012871,0.850830762,0.013154413,E,SVM,Eukaryota,25,Mesophiles
Bradyrhizobium erythrophlei,BM,0.00035512,0.988126884,0.000595326,0.010922669,BM,SVM,Bacteria,28,Mesophiles
Bradyrhizobium guangxiense,BM,0.000373637,0.986814566,0.000593117,0.01221868,BM,SVM,Bacteria,28,Mesophiles
Brevibacillus brevis,BM,0.001956268,0.948788691,0.005836336,0.043418705,BM,SVM,Bacteria,30,Mesophiles
Brockia lithotrophica,THP,0.123882247,0.293842819,0.294319378,0.287955557,E,SVM,Bacteria,63,Hyperthermophiles
Burkholderia gladioli,BM,0.002514103,0.956252322,0.005472034,0.035761541,BM,SVM,Bacteria,30,Mesophiles
Burkholderia lata,BM,0.002981748,0.970533459,0.001571447,0.024913346,BM,SVM,Bacteria,29,Mesophiles
Burkholderia metallica,BM,0.003072133,0.96885889,0.001641584,0.026427393,BM,SVM,Bacteria,28,Mesophiles
Burkholderia oklahomensis C6786,BM,0.003599034,0.938282191,0.008306357,0.049812418,BM,SVM,Bacteria,32,Mesophiles
Burkholderia plantarii,BM,0.002438235,0.960767249,0.005176191,0.031618326,BM,SVM,Bacteria,30,Mesophiles
Burkholderia territorii,BM,0.002965363,0.96932454,0.001656134,0.026053964,BM,SVM,Bacteria,30,Mesophiles
Calderihabitans maritimus,THP,0.164620314,0.301444498,0.236555904,0.297379284,BM,SVM,Bacteria,65,Hyperthermophiles
Caldicellulosiruptor acetigenus DSM 7040,THP,0.113457844,0.298087891,0.297298201,0.291156065,BM,SVM,Bacteria,70,Hyperthermophiles
Caldicellulosiruptor obsidiansis OB47,THP,0.112292704,0.309327332,0.288838717,0.289541247,BM,SVM,Bacteria,75,Hyperthermophiles
Caldichromatium japonicum,THP,0.083590216,0.4538928,0.199275365,0.263241619,BM,SVM,Bacteria,50,Thermophiles
Caldilinea aerophila DSM 14535 = NBRC 104270,THP,0.007602203,0.877502647,0.019702057,0.095193092,BM,SVM,Bacteria,55,Thermophiles
Caloramator proteoclasticus DSM 10124,THP,0.106011475,0.373007491,0.244160311,0.276820723,BM,SVM,Bacteria,55,Thermophiles
Candidatus Rhabdochlamydia porcellionis,BM,0.000520966,0.975758412,0.00116965,0.022550972,BM,SVM,Bacteria,25,Mesophiles
Carboxydothermus ferrireducens DSM 11255,THP,0.174610663,0.307798569,0.215016053,0.302574715,BM,SVM,Bacteria,65,Hyperthermophiles
Carboxydothermus pertinax,THP,0.166933642,0.299514114,0.23650357,0.297048674,BM,SVM,Bacteria,65,Hyperthermophiles
Chaetomium globosum CBS 148.51,E,0.015773378,0.114688612,0.858116549,0.011421461,E,SVM,Eukaryota,26,Mesophiles
Clostridium saccharoperbutylacetonicum N1-4(HMT),BM,9.30E-05,0.998680481,8.02E-05,0.001146322,BM,SVM,Bacteria,37,Mesophiles
Coprothermobacter platensis DSM 11748,THP,0.169808696,0.312281076,0.207506692,0.310403536,BM,SVM,Bacteria,55,Thermophiles
Corallococcus coralloides DSM 2259,BM,0.068515926,0.587167528,0.117364926,0.22695162,BM,SVM,Bacteria,30,Mesophiles
Cryobacterium roopkundense,BM,0.000714478,0.970560025,0.001670855,0.027054641,BM,SVM,Bacteria,15,Mesophiles
Cryobacterium soli,BM,0.001122675,0.961615097,0.002655068,0.03460716,BM,SVM,Bacteria,15,Mesophiles
Daejeonella rubra,BM,0.001662954,0.949806824,0.005399821,0.0431304,BM,SVM,Bacteria,15,Mesophiles
Deferribacter autotrophicus,THP,0.157419035,0.30446206,0.247037403,0.291081502,BM,SVM,Bacteria,60,Thermophiles
Deferrisoma camini S3R1,THP,0.148761045,0.28680703,0.278392801,0.286039125,BM,SVM,Bacteria,50,Thermophiles
Deinococcus marmoris DSM 12784,BM,0.071801616,0.488656598,0.182575544,0.256966243,BM,SVM,Bacteria,15,Mesophiles
Delftia lacustris,BM,0.002078665,0.983888542,0.000725523,0.01330727,BM,SVM,Bacteria,24,Mesophiles
Desulfohalotomaculum alkaliphilum DSM 12257,THP,0.149484214,0.291476931,0.273134692,0.285904163,BM,SVM,Bacteria,50,Thermophiles
Desulfonema limicola,BM,0.118507345,0.425763078,0.182539029,0.273190548,BM,SVM,Bacteria,30,Mesophiles
Desulfotomaculum nigrificans DSM 574,THP,0.142875072,0.308720945,0.264047339,0.284356643,BM,SVM,Bacteria,55,Thermophiles
Desulfurispora thermophila DSM 16022,THP,0.130269566,0.296454815,0.287689384,0.285586235,BM,SVM,Bacteria,50,Thermophiles
Desulfurococcus mucosus DSM 2162,THP,0.209951306,0.085613275,0.126468451,0.577966967,THP,SVM,Archaea,85,Hyperthermophiles
Dictyostelium discoideum AX4,E,0.004043199,0.03262874,0.950543427,0.012784634,E,SVM,Eukaryota,24,Mesophiles
Fervidobacterium nodosum Rt17-B1,THP,0.172688809,0.317506932,0.194697016,0.315107243,BM,SVM,Bacteria,70,Hyperthermophiles
Fervidobacterium pennivorans DSM 9078,THP,0.173127441,0.319731339,0.191402056,0.315739164,BM,SVM,Bacteria,65,Hyperthermophiles
Flavobacterium faecale,BM,0.000325434,0.997420461,0.001335512,0.000918593,BM,SVM,Bacteria,18,Mesophiles
Francisella persica ATCC VR-331,BM,0.000847039,0.968219566,0.001830937,0.029102458,BM,SVM,Bacteria,34,Mesophiles
Fusarium poae,E,0.004297567,0.050782135,0.940280733,0.004639565,E,SVM,Eukaryota,25,Mesophiles
Geobacillus jurassicus NBRC 107829,THP,0.143621962,0.293450433,0.278378235,0.28454937,BM,SVM,Bacteria,55,Thermophiles
Geobacillus kaustophilus HTA426,THP,0.123528342,0.304171072,0.28609318,0.286207407,BM,SVM,Bacteria,55,Thermophiles
Geobacillus thermocatenulatus,THP,0.112365924,0.321502109,0.279423864,0.286708103,BM,SVM,Bacteria,60,Thermophiles
Geobacillus thermodenitrificans,THP,0.132584859,0.289377074,0.292268366,0.285769701,E,SVM,Bacteria,55,Thermophiles
Geobacillus vulcani PSS1,THP,0.122064441,0.307446292,0.284401717,0.28608755,BM,SVM,Bacteria,50,Thermophiles
Gimesia alba,BM,0.001326674,0.956273801,0.003482849,0.038916676,BM,SVM,Bacteria,30,Mesophiles
Gimesia fumaroli,BM,0.001460796,0.95329585,0.003895857,0.041347497,BM,SVM,Bacteria,28,Mesophiles
Glaciibacter superstes DSM 21135,BM,0.01875163,0.785662897,0.04828052,0.147304954,BM,SVM,Bacteria,15,Mesophiles
Haladaptatus cibarius D43,AM,0.952224102,0,0,0.047775898,AM,SVM,Archaea,37,Mesophiles
Haloarchaeobius iranensis,AM,0.951982523,0,0,0.048017477,AM,SVM,Archaea,37,Mesophiles
Halobaculum halophilum,AM,0.901103489,0,0,0.098896511,AM,SVM,Archaea,37,Mesophiles
Halobellus rufus,AM,0.912652133,0,0,0.087347867,AM,SVM,Archaea,37,Mesophiles
Halococcus thailandensis JCM 13552,AM,0.862716339,0,0,0.137283661,AM,SVM,Archaea,37,Mesophiles
Halogeometricum pallidum JCM 14848,AM,0.940432357,0,0,0.059567643,AM,SVM,Archaea,37,Mesophiles
Halogranum rubrum,AM,0.905209673,0,0,0.094790327,AM,SVM,Archaea,37,Mesophiles
Halomicrobium katesii DSM 19301,AM,0.955243888,0,0,0.044756112,AM,SVM,Archaea,40,Mesophiles
Halomicrobium zhouii,AM,0.962914109,0,0,0.037085891,AM,SVM,Archaea,37,Mesophiles
Halopelagius longus,AM,0.894341985,0,0,0.105658015,AM,SVM,Archaea,37,Mesophiles
Halopenitus persicus,AM,0.938357802,0,0,0.061642198,AM,SVM,Archaea,37,Mesophiles
Halorhabdus rudnickae,AM,0.839490916,0,0,0.160509084,AM,SVM,Archaea,38,Mesophiles
Halorubrum depositum,AM,0.867782746,0,0,0.132217254,AM,SVM,Archaea,37,Mesophiles
Halorubrum halodurans,AM,0.889166963,0,0,0.110833037,AM,SVM,Archaea,37,Mesophiles
Halorubrum persicum,AM,0.934272076,0,0,0.065727924,AM,SVM,Archaea,37,Mesophiles
Halorussus salinus,AM,0.903338166,0,0,0.096661834,AM,SVM,Archaea,37,Mesophiles
Halosimplex halophilum,AM,0.833418115,0,0,0.166581885,AM,SVM,Archaea,37,Mesophiles
Halosimplex litoreum,AM,0.851685074,0,0,0.148314926,AM,SVM,Archaea,37,Mesophiles
Halosimplex pelagicum,AM,0.865676991,0,0,0.134323009,AM,SVM,Archaea,37,Mesophiles
Haloterrigena longa,AM,0.947981581,0,0,0.052018419,AM,SVM,Archaea,37,Mesophiles
Halovivax asiaticus JCM 14624,AM,0.932148606,0,0.000134544,0.06771685,AM,SVM,Archaea,37,Mesophiles
Hanseniaspora osmophila,E,0.002504598,0.032241742,0.960796372,0.004457289,E,SVM,Eukaryota,25,Mesophiles
Hymenobacter elongatus,BM,0.046548332,0.569453893,0.154050008,0.229947767,BM,SVM,Bacteria,15,Mesophiles
Hymenobacter lapidarius,BM,0.036254297,0.650622974,0.10715274,0.205969989,BM,SVM,Bacteria,15,Mesophiles
Ignicoccus islandicus DSM 13165,THP,0.114644934,0.070580445,0.088923149,0.725851472,THP,SVM,Archaea,90,Hyperthermophiles
Janthinobacterium lividum,BM,0.000787331,0.996687808,0.000373719,0.002151143,BM,SVM,Bacteria,25,Mesophiles
Kibdelosporangium phytohabitans,BM,0.000793582,0.990013476,0.000863492,0.00832945,BM,SVM,Bacteria,28,Mesophiles
Kosmotoga pacifica,THP,0.172128095,0.322755654,0.185280805,0.319835445,BM,SVM,Bacteria,70,Hyperthermophiles
Ktedonosporobacter rubrisoli,BM,0.001297531,0.963599291,0.002153861,0.032949318,BM,SVM,Bacteria,28,Mesophiles
Kutzneria albida DSM 43870,BM,0.001180923,0.970628645,0.002129086,0.026061345,BM,SVM,Bacteria,28,Mesophiles
Labilithrix luteola,BM,0.004573417,0.923768276,0.007838164,0.063820143,BM,SVM,Bacteria,29,Mesophiles
Laceyella sacchari,THP,0.105592655,0.322522763,0.281823228,0.290061355,BM,SVM,Bacteria,50,Thermophiles
Lachancea meyersii CBS 8951,E,0.022023481,0.126830512,0.835645006,0.015501001,E,SVM,Eukaryota,25,Mesophiles
Marinithermus hydrothermalis DSM 14884,THP,0.106978046,0.311017285,0.289751465,0.292253205,BM,SVM,Bacteria,70,Hyperthermophiles
Marinitoga hydrogenitolerans DSM 16785,THP,0.188762209,0.327531915,0.169927221,0.313778655,BM,SVM,Bacteria,60,Thermophiles
Marinobacter psychrophilus,BM,0.000230006,0.98646445,0.000498146,0.012807398,BM,SVM,Bacteria,18,Mesophiles
Massilia psychrophila,BM,0.004692851,0.925592243,0.00844869,0.061266217,BM,SVM,Bacteria,15,Mesophiles
Meiothermus cateniformans,THP,0.164342228,0.297096931,0.243569925,0.294990917,BM,SVM,Bacteria,55,Thermophiles
Meiothermus silvanus DSM 9946,THP,0.163627072,0.29735262,0.244307934,0.294712374,BM,SVM,Bacteria,50,Thermophiles
Melittangium boletus DSM 14713,BM,0.068256015,0.578670253,0.124552712,0.22852102,BM,SVM,Bacteria,29,Mesophiles
Mesorhizobium opportunistum WSM2075,BM,0.001200713,0.963128213,0.002480167,0.033190907,BM,SVM,Bacteria,28,Mesophiles
Metallosphaera cuprina Ar-4,THP,0.311080195,0.149467969,0.137311816,0.40214002,THP,SVM,Archaea,65,Hyperthermophiles
Methanimicrococcus blatticola,AM,0.936933335,0,0,0.063066665,AM,SVM,Archaea,35,Mesophiles
Methanobacterium formicicum,AM,0.915750416,0,0,0.084249584,AM,SVM,Archaea,37,Mesophiles
Methanobacterium petrolearium,AM,0.757414265,0.00223681,0.001008137,0.239340788,AM,SVM,Archaea,35,Mesophiles
Methanobrevibacter boviskoreani JH1,AM,0.962733234,0,0,0.037266766,AM,SVM,Archaea,37,Mesophiles
Methanobrevibacter ruminantium M1,AM,0.947518074,0,0,0.052481926,AM,SVM,Archaea,37,Mesophiles
Methanocaldococcus bathoardescens,THP,0.303428885,0.087256496,0.102965113,0.506349507,THP,SVM,Archaea,80,Hyperthermophiles
Methanocella conradii HZ254,THP,0.849977954,0,0,0.150022046,AM,SVM,Archaea,50,Thermophiles
Methanocella paludicola SANAE,AM,0.815312109,0,0,0.184687891,AM,SVM,Archaea,37,Mesophiles
Methanococcoides burtonii DSM 6242,AM,0.953708472,0.001550253,0,0.044741275,AM,SVM,Archaea,21,Mesophiles
Methanococcus voltae,AM,0.883208481,0,0,0.116791519,AM,SVM,Archaea,30,Mesophiles
Methanohalophilus mahii DSM 5219,AM,0.937604091,0,0,0.062395909,AM,SVM,Archaea,37,Mesophiles
Methanolacinia paynteri,AM,0.969579301,0,0,0.030420699,AM,SVM,Archaea,37,Mesophiles
Methanolacinia petrolearia DSM 11571,AM,0.972969811,0,0,0.027030189,AM,SVM,Archaea,37,Mesophiles
Methanolobus profundi,AM,0.970266742,0,0,0.029733258,AM,SVM,Archaea,30,Mesophiles
Methanolobus psychrotolerans,AM,0.959779928,0,0,0.040220072,AM,SVM,Archaea,35,Mesophiles
Methanosarcina acetivorans C2A,AM,0.947287723,0,0,0.052712277,AM,SVM,Archaea,37,Mesophiles
Methanosarcina flavescens,AM,0.921971288,0,0,0.078028712,AM,SVM,Archaea,45,Mesophiles
Methanosarcina mazei Go1,AM,0.944688637,0,0,0.055311363,AM,SVM,Archaea,37,Mesophiles
Methanosarcina spelaei,AM,0.928973534,0,0,0.071026466,AM,SVM,Archaea,29,Mesophiles
Methanosarcina vacuolata Z-761,AM,0.940087855,0,0,0.059912145,AM,SVM,Archaea,37,Mesophiles
Methanospirillum hungatei JF-1,AM,0.954149513,0,0,0.045850487,AM,SVM,Archaea,37,Mesophiles
Methanothrix soehngenii GP6,AM,0.917825838,0,0,0.082174162,AM,SVM,Archaea,37,Mesophiles
Methanothrix thermoacetophila PT,THP,0.566385764,0.045316829,0.031497828,0.356799579,AM,SVM,Archaea,55,Thermophiles
Microlunatus soli,BM,0.001137034,0.993406899,0.003199594,0.002256474,BM,SVM,Bacteria,28,Mesophiles
Micromonospora coriariae,BM,0.005718184,0.909468136,0.011680374,0.073133305,BM,SVM,Bacteria,28,Mesophiles
Micromonospora inositola,BM,0.003960356,0.928685137,0.007848483,0.059506024,BM,SVM,Bacteria,28,Mesophiles
Micromonospora viridifaciens,BM,0.006097861,0.905609201,0.012521888,0.075771049,BM,SVM,Bacteria,28,Mesophiles
Murdochiella vaginalis,BM,0.10612058,0.459195638,0.170884831,0.263798951,BM,SVM,Bacteria,37,Mesophiles
Mycobacterium vicinigordonae,BM,0.002713763,0.967387649,0.004378404,0.025520184,BM,SVM,Bacteria,30,Mesophiles
Mycolicibacterium aichiense,BM,0.002386699,0.96632487,0.004115432,0.027172998,BM,SVM,Bacteria,37,Mesophiles
Mycolicibacterium arabiense,BM,0.003134142,0.951339655,0.006091225,0.039434978,BM,SVM,Bacteria,28,Mesophiles
Mycolicibacterium smegmatis,BM,0.002861676,0.955210145,0.003445102,0.038483077,BM,SVM,Bacteria,37,Mesophiles
Mycoplasma crocodyli MP145,BM,0.000111947,0.995951815,0.00023429,0.003701949,BM,SVM,Bacteria,37,Mesophiles
Mycoplasma feriruminatoris,BM,0.000428938,0.996212604,0.00292771,0.000430749,BM,SVM,Bacteria,37,Mesophiles
